Season,TeamID,ConfAbbrev,tourney_game_wins,tourney_game_losses
1985,1104,sec,5,6
1986,1104,sec,5,6
1987,1104,sec,5,6
1988,1104,sec,5,6
1989,1104,sec,5,6
1990,1104,sec,5,6
1991,1104,sec,5,6
1992,1104,sec,5,6
1993,1104,sec,5,6
1994,1104,sec,5,6
1995,1104,sec,5,6
1996,1104,sec,5,6
1997,1104,sec,5,6
1998,1104,sec,5,6
1999,1104,sec,5,6
2000,1104,sec,5,6
2001,1104,sec,5,6
2002,1104,sec,5,6
2003,1104,sec,5,6
2004,1104,sec,5,6
2005,1104,sec,5,6
2006,1104,sec,5,6
2007,1104,sec,5,6
2008,1104,sec,5,6
2009,1104,sec,5,6
2010,1104,sec,5,6
2011,1104,sec,5,6
2012,1104,sec,5,6
2013,1104,sec,5,6
2014,1104,sec,5,6
2015,1104,sec,5,6
2016,1104,sec,5,6
2017,1104,sec,5,6
2018,1104,sec,5,6
2019,1104,sec,5,6
2020,1104,sec,5,6
1985,1112,pac_ten,22,14
1986,1112,pac_ten,22,14
1987,1112,pac_ten,22,14
1988,1112,pac_ten,22,14
1989,1112,pac_ten,22,14
1990,1112,pac_ten,22,14
1991,1112,pac_ten,22,14
1992,1112,pac_ten,22,14
1993,1112,pac_ten,22,14
1994,1112,pac_ten,22,14
1995,1112,pac_ten,22,14
1996,1112,pac_ten,22,14
1997,1112,pac_ten,22,14
1998,1112,pac_ten,22,14
1999,1112,pac_ten,22,14
2000,1112,pac_ten,22,14
2001,1112,pac_ten,22,14
2002,1112,pac_ten,22,14
2003,1112,pac_ten,22,14
2004,1112,pac_ten,22,14
2005,1112,pac_ten,22,14
2006,1112,pac_ten,22,14
2007,1112,pac_ten,22,14
2008,1112,pac_ten,22,14
2009,1112,pac_ten,22,14
2010,1112,pac_ten,22,14
2011,1112,pac_ten,22,14
2012,1112,pac_twelve,22,14
2013,1112,pac_twelve,22,14
2014,1112,pac_twelve,22,14
2015,1112,pac_twelve,22,14
2016,1112,pac_twelve,22,14
2017,1112,pac_twelve,22,14
2018,1112,pac_twelve,22,14
2019,1112,pac_twelve,22,14
2020,1112,pac_twelve,22,14
1985,1113,pac_ten,3,5
1986,1113,pac_ten,3,5
1987,1113,pac_ten,3,5
1988,1113,pac_ten,3,5
1989,1113,pac_ten,3,5
1990,1113,pac_ten,3,5
1991,1113,pac_ten,3,5
1992,1113,pac_ten,3,5
1993,1113,pac_ten,3,5
1994,1113,pac_ten,3,5
1995,1113,pac_ten,3,5
1996,1113,pac_ten,3,5
1997,1113,pac_ten,3,5
1998,1113,pac_ten,3,5
1999,1113,pac_ten,3,5
2000,1113,pac_ten,3,5
2001,1113,pac_ten,3,5
2002,1113,pac_ten,3,5
2003,1113,pac_ten,3,5
2004,1113,pac_ten,3,5
2005,1113,pac_ten,3,5
2006,1113,pac_ten,3,5
2007,1113,pac_ten,3,5
2008,1113,pac_ten,3,5
2009,1113,pac_ten,3,5
2010,1113,pac_ten,3,5
2011,1113,pac_ten,3,5
2012,1113,pac_twelve,3,5
2013,1113,pac_twelve,3,5
2014,1113,pac_twelve,3,5
2015,1113,pac_twelve,3,5
2016,1113,pac_twelve,3,5
2017,1113,pac_twelve,3,5
2018,1113,pac_twelve,3,5
2019,1113,pac_twelve,3,5
2020,1113,pac_twelve,3,5
1985,1114,a_sun,1,2
1986,1114,a_sun,1,2
1987,1114,a_sun,1,2
1988,1114,a_sun,1,2
1989,1114,a_sun,1,2
1990,1114,a_sun,1,2
1991,1114,a_sun,1,2
1992,1114,sun_belt,1,2
1993,1114,sun_belt,1,2
1994,1114,sun_belt,1,2
1995,1114,sun_belt,1,2
1996,1114,sun_belt,1,2
1997,1114,sun_belt,1,2
1998,1114,sun_belt,1,2
1999,1114,sun_belt,1,2
2000,1114,sun_belt,1,2
2001,1114,sun_belt,1,2
2002,1114,sun_belt,1,2
2003,1114,sun_belt,1,2
2004,1114,sun_belt,1,2
2005,1114,sun_belt,1,2
2006,1114,sun_belt,1,2
2007,1114,sun_belt,1,2
2008,1114,sun_belt,1,2
2009,1114,sun_belt,1,2
2010,1114,sun_belt,1,2
2011,1114,sun_belt,1,2
2012,1114,sun_belt,1,2
2013,1114,sun_belt,1,2
2014,1114,sun_belt,1,2
2015,1114,sun_belt,1,2
